start_date,end_date,days,start_equity,end_equity,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,avg_exposure,avg_holdings,avg_turnover,transaction_cost
2025-01-03,2025-04-10,63,1.0,0.9512744549301576,-0.04872554506984239,-0.18111420371380704,0.2616873985065973,-0.6921013573729308,-0.1679489925521474,0.5809523809523809,3.365079365079365,0.07513227513227513,0.0094666666666665
2025-01-06,2025-04-11,63,1.0,0.9512744549301576,-0.04872554506984239,-0.18111420371380704,0.2616873985065973,-0.6921013573729308,-0.1679489925521474,0.580952380952381,3.4444444444444446,0.07513227513227513,0.0094666666666665
2025-01-07,2025-04-14,63,1.0179192127867784,0.9512744549301576,-0.06547155905837176,-0.23727129357401333,0.2616873985065973,-0.9066974372020883,-0.1679489925521474,0.580952380952381,3.5238095238095237,0.07513227513227513,0.0094666666666665
2025-01-08,2025-04-15,63,1.0141866645995037,0.9512744549301576,-0.06203217993818699,-0.22598076179480298,0.25900195373462725,-0.8725060121605966,-0.1679489925521474,0.573015873015873,3.5873015873015874,0.06719576719576721,0.0084666666666665
2025-01-09,2025-04-16,63,1.0099586568684555,0.9512744549301576,-0.05810554871647722,-0.2129379835687335,0.25894951781569053,-0.8223146556321989,-0.1679489925521474,0.565079365079365,3.6507936507936507,0.0671957671957672,0.0084666666666665
2025-01-10,2025-04-17,63,1.0075401734947285,0.9512744549301576,-0.05584464028804825,-0.20535372595221557,0.2588697155851719,-0.7932705665783111,-0.1679489925521474,0.5571428571428572,3.7142857142857144,0.0671957671957672,0.0084666666666665
2025-01-13,2025-04-18,63,1.0045232635537753,0.9512744549301576,-0.05300903478853791,-0.19576430927278232,0.2588547659695864,-0.7562708321769251,-0.1679489925521474,0.5492063492063493,3.7777777777777777,0.0671957671957672,0.008466666666666501
2025-01-14,2025-04-21,63,1.0035187402902217,0.9512744549301576,-0.052061095884422426,-0.19253930804005936,0.2588202165537418,-0.743911393799797,-0.1679489925521474,0.5412698412698413,3.8412698412698414,0.0671957671957672,0.0084666666666665
2025-01-15,2025-04-22,63,1.0035187402902217,0.9471371066267232,-0.056183936980780946,-0.2064953836090644,0.25891964721374716,-0.7975269000679399,-0.1715678060356734,0.5476190476190476,3.9047619047619047,0.06560846560846562,0.0082666666666665
2025-01-16,2025-04-23,63,1.0035187402902217,0.9534789812071622,-0.04986429956314298,-0.18502826562719743,0.2593408032804144,-0.7134560519855183,-0.1715678060356734,0.553968253968254,3.9682539682539684,0.06560846560846562,0.0082666666666665
2025-01-17,2025-04-24,63,1.0035187402902217,0.9508072379532672,-0.052526674610690494,-0.1941244720144777,0.25937127782812547,-0.7484424398877191,-0.1715678060356734,0.5603174603174603,4.031746031746032,0.06560846560846562,0.008266666666666499
