asset_id,stock_name,holding_days,avg_weight,max_weight,avg_bottleneck_rank,avg_bottleneck_score
CN:SH:688002,睿创微纳,107,0.15028037383177573,0.2,1.719626168224299,0.6355688921664204
CN:SZ:002028,思源电气,104,0.15921474358974358,0.25,2.0,0.6372547977630044
CN:SZ:002885,京泉华,90,0.16222222222222224,0.2,2.6222222222222222,0.5814135841607043
CN:SZ:300308,中际旭创,79,0.17468354430379748,0.2,3.3037974683544302,0.5900551790884366
CN:SH:601100,恒立液压,79,0.14630801687763714,0.25,3.7848101265822787,0.5222172604016668
CN:SZ:300567,精测电子,73,0.13123287671232878,0.2,2.835616438356164,0.5684984439965268
CN:SH:688190,云路股份,68,0.17585784313725492,0.5,3.7058823529411766,0.4606637635399237
CN:SH:603501,豪威集团,66,0.14734848484848484,0.25,2.6515151515151514,0.5390877662940101
CN:SZ:300014,亿纬锂能,64,0.1765625,0.2,2.390625,0.6227328026366326
CN:SZ:300750,宁德时代,64,0.16875,0.2,3.484375,0.6067860377677975
CN:SH:601939,建设银行,62,0.17129032258064517,0.2,3.096774193548387,0.5697753689923902
CN:SZ:300274,阳光电源,60,0.16666666666666666,0.2,2.0,0.5973335732655545
CN:SZ:002402,和而泰,54,0.1814814814814815,0.2,2.7962962962962963,0.5749012829164161
CN:SH:603757,大元泵业,54,0.1703703703703704,0.2,4.611111111111111,0.5543928216844884
CN:SH:600388,龙净环保,54,0.16111111111111112,0.2,3.240740740740741,0.5625610966368485
CN:SZ:000531,穗恒运Ａ,53,0.1792452830188679,0.2,2.7358490566037736,0.5824601702511251
CN:SZ:000027,深圳能源,51,0.13058823529411764,0.2,2.7058823529411766,0.5883614735937727
CN:SH:600219,南山铝业,47,0.13787234042553193,0.2,4.595744680851064,0.544457854484729
CN:SZ:000541,佛山照明,46,0.13260869565217392,0.2,3.4565217391304346,0.5206884849515655
CN:SZ:300602,飞荣达,45,0.17777777777777778,0.2,3.422222222222222,0.5852073453962363
CN:SH:601077,渝农商行,37,0.17027027027027028,0.2,3.4594594594594597,0.5230977807106029
CN:SH:600780,通宝能源,33,0.11696969696969697,0.2,3.6666666666666665,0.563469299626553
CN:SZ:300408,三环集团,31,0.1903225806451613,0.2,1.0,0.675086080352201
CN:SZ:002838,道恩股份,29,0.2,0.2,3.6206896551724137,0.591336865682042
CN:SZ:002979,雷赛智能,22,0.1863636363636364,0.2,2.0,0.6003957359066725
CN:SZ:002730,电光科技,20,0.135,0.2,4.8,0.5368531002695773
CN:SZ:002222,福晶科技,18,0.2,0.2,4.888888888888889,0.5505747939188773
CN:SH:603931,格林达,13,0.17692307692307693,0.2,5.076923076923077,0.5378877934941874
CN:SH:688011,新光光电,12,0.20000000000000004,0.2,5.166666666666667,0.5615509411642249
CN:SZ:002532,天山铝业,10,0.2,0.2,4.8,0.5521205742659758
CN:SZ:002371,北方华创,10,0.09,0.1,5.0,0.5512702778683594
CN:SH:601998,中信银行,10,0.07,0.1,5.2,0.5433139385575687
CN:SH:600183,生益科技,9,0.2,0.2,4.444444444444445,0.5429652642793555
CN:SH:605389,长龄液压,9,0.14666666666666667,0.2,5.222222222222222,0.5257170769831966
CN:SH:601126,四方股份,5,0.2,0.2,5.4,0.5478128623888675
CN:SZ:002074,国轩高科,5,0.2,0.2,5.8,0.5631565521840614
CN:SH:688411,海博思创,5,0.1,0.1,6.0,0.5451308320905743
CN:SZ:000400,许继电气,5,0.1,0.1,5.4,0.5523575080338885
CN:SH:688486,龙迅股份,4,0.2,0.2,7.0,0.523954245421192
